city,keep_frac,seed,station,MAE,RMSE,R2
london,0.75,42,KC1,1.6279006004333496,2.4645405868559465,0.7386175394058228
london,0.75,42,LH0,1.0048683881759644,1.429932536821311,0.7466649413108826
london,0.75,42,RB7,2.3097786903381348,3.143878978108366,0.5730838179588318
london,0.75,42,TH4,2.8700971603393555,4.558942897471653,0.5673201680183411
london,0.75,42,__aggregate__,2.1186187267303467,3.0876654700290267,0.5726820230484009
london,0.5,42,BL0,1.5029401779174805,2.1979994434359456,0.3460132479667663
london,0.5,42,BT4,2.956401824951172,4.021671003667898,0.5474567413330078
london,0.5,42,CT3,1.8102846145629885,2.1782371590633254,-0.2307610511779785
london,0.5,42,GN0,2.397813320159912,3.3117306373636617,-0.7006999254226685
london,0.5,42,KC1,1.5911682844161987,2.518511709295472,0.7270441055297852
london,0.5,42,LH0,1.078304409980774,1.477435867931569,0.7295534610748291
london,0.5,42,RB7,2.193124294281006,3.066345136482962,0.5938812494277954
london,0.5,42,TH4,2.6858937740325928,4.279768415941661,0.6186893582344055
london,0.5,42,__aggregate__,2.026991128921509,3.019973544832275,0.5912131071090698
london,0.25,42,BL0,1.3089414834976196,2.1166047705463833,0.393552303314209
london,0.25,42,BT4,2.25252103805542,3.1959520366827108,0.7142096757888794
london,0.25,42,CT3,1.6375337839126587,2.0159625576568905,-0.0542129278182983
london,0.25,42,GN0,1.1646820306777954,1.6327656278316454,0.58660489320755
london,0.25,42,KC1,1.7062773704528809,2.7999718426242297,0.6626258492469788
london,0.25,42,LH0,0.8130028247833252,1.2850039313586468,0.7954152822494507
london,0.25,42,RB7,1.7723132371902466,2.6144167681117776,0.7047699093818665
london,0.25,42,TH4,2.0013234615325928,3.0760756123331117,0.8030153512954712
london,0.25,42,__aggregate__,1.582074522972107,2.4293168450635902,0.7354797124862671
london,0.0,42,BL0,0.7850131988525391,1.1703637105537232,0.8145804405212402
london,0.0,42,BT4,2.2193124294281006,3.1341114728294355,0.7251625657081604
london,0.0,42,CT3,0.9792696833610536,1.3926116810911515,0.4969357252120971
london,0.0,42,GN0,0.975939929485321,1.5586914184868583,0.6232632994651794
london,0.0,42,KC1,1.1322895288467407,1.7668569537314958,0.8656594157218933
london,0.0,42,LH0,0.7655034065246582,1.2001461456632343,0.8215434551239014
london,0.0,42,RB7,1.8155648708343504,2.6308896431884463,0.7010378241539001
london,0.0,42,TH4,1.866690993309021,2.82044158386534,0.8343952894210815
london,0.0,42,__aggregate__,1.3174480199813845,2.091646988714092,0.8039045929908752
beijing,1.0,42,Aotizhongxin,12.78067684173584,22.74284635983093,0.9403345584869385
beijing,1.0,42,Changping,12.35500717163086,21.947981631691743,0.9260218143463135
beijing,1.0,42,Dingling,13.206576347351074,26.59631005414273,0.8798683285713196
beijing,1.0,42,Dongsi,14.80483341217041,25.651690320690246,0.9360833168029785
beijing,1.0,42,Guanyuan,13.285491943359375,25.08615039032992,0.9297356009483337
beijing,1.0,42,Gucheng,15.982413291931152,29.46464773773129,0.9131702184677124
beijing,1.0,42,Huairou,9.93276596069336,19.318978516169096,0.9361339211463928
beijing,1.0,42,Nongzhanguan,13.570867538452148,23.3570559572109,0.9438875317573547
beijing,1.0,42,Shunyi,11.792325973510742,20.502188216863278,0.9496591687202454
beijing,1.0,42,Tiantan,12.651820182800293,22.42629461559682,0.9430404901504517
beijing,1.0,42,Wanliu,12.733671188354492,22.698082339583916,0.9375366568565369
beijing,1.0,42,Wanshouxigong,13.965258598327637,27.09895220205421,0.9305775165557861
beijing,1.0,42,__aggregate__,13.088476181030273,24.071792037050336,0.9324153065681458
beijing,0.75,42,Aotizhongxin,12.651865005493164,22.60280468847077,0.941067099571228
beijing,0.75,42,Changping,12.705521583557129,23.010241011476825,0.9186875820159912
beijing,0.75,42,Dingling,12.777949333190918,25.56694428625992,0.8889873623847961
beijing,0.75,42,Dongsi,14.489279747009277,25.33015154215303,0.9376756548881531
beijing,0.75,42,Guanyuan,13.213817596435547,24.694318925757624,0.931913435459137
beijing,0.75,42,Gucheng,15.820196151733398,29.278968486021988,0.9142611622810364
beijing,0.75,42,Huairou,10.052327156066895,20.04455714752098,0.9312465190887451
beijing,0.75,42,Nongzhanguan,13.518148422241211,23.37935887458676,0.9437803030014038
beijing,0.75,42,Shunyi,11.294205665588379,20.591487777634825,0.9492197036743164
beijing,0.75,42,Tiantan,12.891114234924316,22.762396819851265,0.9413204193115234
beijing,0.75,42,Wanliu,12.871865272521973,22.85351620921822,0.9366782307624817
beijing,0.75,42,Wanshouxigong,13.888409614562988,27.168288605683625,0.9302217960357666
beijing,0.75,42,__aggregate__,13.014558792114258,24.072155885272174,0.9324132800102234
beijing,0.5,42,Aotizhongxin,12.317850112915039,21.848045614378616,0.9449372291564941
beijing,0.5,42,Changping,11.49300479888916,21.27012058699142,0.9305208921432495
beijing,0.5,42,Dingling,10.346662521362305,19.641378577925895,0.9344822764396667
beijing,0.5,42,Dongsi,14.431815147399902,25.344830096050284,0.9376034140586853
beijing,0.5,42,Guanyuan,13.130627632141113,24.504714200871764,0.9329549670219421
beijing,0.5,42,Gucheng,11.928607940673828,22.92926293261108,0.9474169015884399
beijing,0.5,42,Huairou,9.760830879211426,20.247034679924813,0.9298504590988159
beijing,0.5,42,Nongzhanguan,13.338418960571289,23.14371866980731,0.9449078440666199
beijing,0.5,42,Shunyi,11.201098442077637,20.924060664633565,0.9475661516189575
beijing,0.5,42,Tiantan,12.558107376098633,22.24671140220259,0.9439491033554077
beijing,0.5,42,Wanliu,11.47908878326416,20.405885842127834,0.9495155215263367
